GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PigLatin REST,lv.id.jc.piglatin.model,TranslationResponse,64,25,5,3,18,7,11,2,7,2
PigLatin REST,lv.id.jc.piglatin.model,TranslationRequest,80,9,8,0,21,4,11,2,7,2
PigLatin REST,lv.id.jc.piglatin.core,PhraseTranslator,0,20,0,0,0,5,0,2,0,2
PigLatin REST,lv.id.jc.piglatin.core,WordTranslator,0,14,0,0,0,3,0,3,0,3
PigLatin REST,lv.id.jc.piglatin.core,WordsMatcher,0,12,0,0,0,4,0,3,0,3
PigLatin REST,lv.id.jc.piglatin.controller,PigLatinController,0,23,0,0,0,6,0,2,0,2
PigLatin REST,lv.id.jc.piglatin.service,TranslationService,8,6,0,0,1,3,1,1,1,1
PigLatin REST,lv.id.jc.piglatin.api,ApiUtil,27,0,0,0,9,0,2,0,2,0
PigLatin REST,lv.id.jc.piglatin.api,PigLatinApi,38,0,4,0,10,0,5,0,3,0
PigLatin REST,lv.id.jc.piglatin,PigLatinRestApplication,5,3,0,0,2,1,1,1,1,1
